,epoch,train_loss,val_loss,val_accuracy,model_size_mb,experiment_name,batch_size,growth_rate,dropout,base_learning_rate,warmup_iter,weight_decay,n_epochs,transform_stack_name,elapsed_time_sec,test_accuracy,test_precision,test_recall,test_f1
0,0,3.784451069502995,3.690735307233087,3.816793893129771,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
1,1,3.7068264361085563,3.5736226624455947,5.343511450381679,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
2,2,3.595630773182573,3.4488139892446585,8.887677208287895,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
3,3,3.5122859149143615,3.3178443333198286,13.03162486368593,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
4,4,3.3810083866119385,3.1675370643878806,19.792802617230098,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
5,5,3.2705527502914955,3.0131590695216737,27.917121046892042,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
6,6,3.1557252201540718,2.833132636958155,37.895310796074156,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
7,7,2.9871300869974595,2.6552313196248023,45.910577971646674,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
8,8,2.872663066304963,2.46182002692387,54.36205016357688,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
9,9,2.7052231287134103,2.269885244040654,60.468920392584515,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
10,10,2.559923003459799,2.0920491300780197,64.55834242093785,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
11,11,2.4041321688684922,1.922643497072417,68.59323882224646,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
12,12,2.2631068065248687,1.763678789138794,71.37404580152672,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
13,13,2.152584799404802,1.6275278329849243,72.95528898582334,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
14,14,2.0214552118860443,1.4839877301249011,74.80916030534351,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
15,15,1.9004691572024905,1.3622910072063577,77.37186477644494,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
16,16,1.8281318442574863,1.2555289062960395,78.84405670665213,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
17,17,1.7205180751866307,1.1631651952348907,80.47982551799345,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
18,18,1.645517466397121,1.09306813930643,81.46128680479825,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
19,19,1.5656093667293418,1.0189660438175858,81.67938931297711,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
20,20,1.4945743680000305,0.9422251356059107,83.31515812431843,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
21,21,1.4241417769728035,0.8947127297006804,83.42420937840785,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
22,22,1.370461909935392,0.8405774687898571,83.53326063249727,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
23,23,1.3131121417571758,0.7949322277101977,85.60523446019629,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
24,24,1.2855992563839616,0.757853417560972,84.95092693565977,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
25,25,1.2432521540543129,0.7238158152021211,85.93238822246457,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
26,26,1.2216752099579777,0.6974577616000998,85.93238822246457,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
27,27,1.1484239594689731,0.6631394254750219,85.44165757906215,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
28,28,1.136771392205666,0.6375836339490167,86.1504907306434,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
29,29,1.1071964307078,0.6228125485880621,86.1504907306434,42.74,resnet_transfer,64,24,0.2,0.001,7500,0.001,30,default,1687.905157327652,0.8624052004333694,0.8671612739562988,0.8624051809310913,0.8619122505187988
