,epoch,train_loss,val_loss,val_accuracy,model_size_mb,experiment_name,batch_size,n_dense_blocks,n_conv_each_block_0,n_conv_each_block_1,n_conv_each_block_2,growth_rate,dropout,base_learning_rate,warmup_iter,main_sched_epochs_kick_in,n_epochs,weight_decay,transform_stack_name,elapsed_time_sec,test_accuracy,test_precision,test_recall,test_f1,n_conv_each_block_3
0,0,3.6164252264746306,3.5299264891394255,6.924754634678298,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
1,1,3.5209749238244417,3.48240877842081,8.069792802617231,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
2,2,3.4871679338915595,3.4293994410284636,8.12431842966194,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
3,3,3.4558323827283135,3.410475648682693,8.451472191930206,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
4,4,3.4277068993140913,3.3706543116733947,8.505997818974919,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
5,5,3.382467006814891,3.3064255714416504,12.050163576881134,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
6,6,3.343498571165677,3.2793754462538094,12.431842966194111,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
7,7,3.333712438057209,3.3796577618039887,8.178844056706652,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
8,8,3.299991854305925,3.2121715545654297,12.813522355507088,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
9,9,3.263826575772516,3.199213175938047,11.723009814612869,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
10,10,3.2217797369792542,3.237448980068338,11.723009814612869,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
11,11,3.19215281256314,3.282282755292695,11.777535441657578,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
12,12,3.1500990966270708,3.1354379407290756,13.958560523446021,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
13,13,3.109979251335407,3.147043047280147,16.08505997818975,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
14,14,3.085775165722288,3.1404373152502654,16.030534351145036,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
15,15,3.04177909472893,2.97009512473797,19.083969465648856,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
16,16,2.9589684173978608,3.049254557182049,16.90294438386041,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
17,17,2.955481562121161,2.9918652896223397,18.157033805888766,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
18,18,2.9165750413105407,3.1557963469932817,15.04907306434024,8.72,24_grwth_rate_baseline,64,3,6,16,14,24,0.2,0.001,7500,70,180,0.001,default,1728.3687636852264,0.7053087757313109,0.7116743922233582,0.7053087949752808,0.7037721276283264,
